contact_half_width_m,test_id,sinkage_m,pressure_kPa
0.0375,fig14-band,0.03503740648379052,41.281138790035584
0.0375,fig14-band,0.03503740648379052,38.71886120996439
0.0375,fig14-band,0.03503740648379052,38.434163701067604
0.0375,fig14-band,0.03503740648379052,37.29537366548041
0.0375,fig14-band,0.04002493765586035,48.39857651245549
0.0375,fig14-band,0.04002493765586035,45.551601423487526
0.0375,fig14-band,0.04002493765586035,44.69750889679713
0.0375,fig14-band,0.04002493765586035,44.12811387900355
0.0375,fig14-band,0.04501246882793017,54.946619217081846
0.0375,fig14-band,0.04501246882793017,52.099644128113866
0.0375,fig14-band,0.04501246882793017,51.245551601423486
0.0375,fig14-band,0.04501246882793017,50.676156583629876
0.0375,fig14-band,0.05,60.64056939501778
0.0375,fig14-band,0.05,59.501779359430586
0.0375,fig14-band,0.05,58.647686832740206
0.0375,fig14-band,0.05,57.2241992882562
0.0375,fig14-band,0.05498753117206982,67.47330960854092
0.0375,fig14-band,0.05498753117206982,67.18861209964412
0.0375,fig14-band,0.05498753117206982,65.76512455516013
0.0375,fig14-band,0.05498753117206982,64.34163701067615
0.0375,fig14-band,0.060099750623441396,75.44483985765123
0.0375,fig14-band,0.060099750623441396,73.73665480427044
0.0375,fig14-band,0.060099750623441396,72.59786476868327
0.0375,fig14-band,0.060099750623441396,68.6120996441281
0.0375,fig14-band,0.06508728179551124,83.41637010676155
0.0375,fig14-band,0.06508728179551124,82.84697508896797
0.0375,fig14-band,0.06508728179551124,80.28469750889678
0.0375,fig14-band,0.07007481296758104,91.38790035587188
0.0375,fig14-band,0.07007481296758104,89.67971530249109
0.0375,fig14-band,0.07007481296758104,88.54092526690391
0.0375,fig14-band,0.07007481296758104,87.40213523131672
0.0375,fig14-band,0.07506234413965089,101.35231316725978
0.0375,fig14-band,0.07506234413965089,98.22064056939502
0.0375,fig14-band,0.07506234413965089,94.80427046263344
0.0375,fig14-band,0.0800498753117207,111.03202846975088
0.0375,fig14-band,0.0800498753117207,109.3238434163701
0.0375,fig14-band,0.0800498753117207,106.76156583629893
0.0375,fig14-band,0.0800498753117207,104.19928825622775
0.0375,fig14-band,0.08503740648379052,120.71174377224199
0.0375,fig14-band,0.08503740648379052,118.1494661921708
0.0375,fig14-band,0.08503740648379052,117.01067615658363
0.0375,fig14-band,0.08503740648379052,112.45551601423486
0.0375,fig14-band,0.09002493765586035,133.80782918149464
0.0375,fig14-band,0.09002493765586035,131.81494661921707
0.0375,fig14-band,0.09002493765586035,131.24555160142347
0.0375,fig14-band,0.09002493765586035,120.99644128113877
